index,abs_eigenvalue
418,0.5779373387246143
419,0.5820183319285652
420,0.5830973198146585
421,0.5919679052382847
422,0.5971397918592635
423,0.6036146094336376
424,0.6075569997610997
425,0.615261802094339
426,0.6200096080300885
427,0.6222601531179034
428,0.6313220831103462
429,0.6387847050080024
430,0.6418054903823606
431,0.6471701004112235
432,0.6585774501727943
433,0.6609901455114364
434,0.6651085620745326
435,0.6857706379504225
436,0.6885256046829518
437,0.6986848281672775
438,0.7007458183008681
439,0.7092193245065795
440,0.712859634601008
441,0.7313161230337161
442,0.733106337551051
443,0.7453318039165712
444,0.7521254030590221
445,0.7708865027135205
446,0.7792271082170532
447,0.7870203525914753
448,0.8031922729532099
449,0.8112812247139136
450,0.8320275105219678
451,0.8421703893753323
452,0.8459374070824041
453,0.8520117791622865
454,0.8747899304175016
455,0.8760724211050229
456,0.8834320077342986
457,0.9166882680331757
458,0.951937999048388
459,0.9596036454331427
460,0.9901709270989181
461,1.0982552701418702
462,1.1378843318339638
463,1.1660998833243141
464,1.4802660575265196
465,2.15769699761723
466,2.5469962807514737
467,6.741968610122408
